date,forecasted_close
2025-01-01,184.26526
2025-01-02,182.61913
2025-01-03,181.01582
2025-01-04,179.38902
2025-01-05,177.7714
2025-01-06,176.18623
2025-01-07,174.64735
2025-01-08,173.16328
2025-01-09,171.73935
2025-01-10,170.3756
2025-01-11,169.07558
2025-01-12,167.8372
2025-01-13,166.6592
2025-01-14,165.53983
2025-01-15,164.47711
2025-01-16,163.46756
2025-01-17,162.50912
2025-01-18,161.59845
2025-01-19,160.73338
2025-01-20,159.91176
2025-01-21,159.13158
2025-01-22,158.39066
2025-01-23,157.68704
2025-01-24,157.01875
2025-01-25,156.38402
2025-01-26,155.78188
2025-01-27,155.21031
2025-01-28,154.66719
2025-01-29,154.15129
2025-01-30,153.66092
2025-01-31,153.19487
