date,forecasted_close
2025-01-01,152.75
2025-01-02,152.0578721790838
2025-01-03,151.4021681664426
2025-01-04,150.82669463480494
2025-01-05,150.34916039703378
2025-01-06,149.96230836149425
2025-01-07,149.64537343583063
2025-01-08,149.383124531707
2025-01-09,149.16810332097862
2025-01-10,148.9957945594567
2025-01-11,148.86086547963134
2025-01-12,148.75704001785294
2025-01-13,148.67863324271954
2025-01-14,148.6206268187678
2025-01-15,148.57915952046577
2025-01-16,148.55092352268352
2025-01-17,148.5330512051563
2025-01-18,148.52312772976646
2025-01-19,148.51909042228849
2025-01-20,148.51937969977132
2025-01-21,148.522712679465
2025-01-22,148.52800771512926
2025-01-23,148.534547901698
2025-01-24,148.5416666432324
2025-01-25,148.54902435312223
2025-01-26,148.55613051737475
2025-01-27,148.56294740414447
2025-01-28,148.56922346779407
2025-01-29,148.57493355375982
2025-01-30,148.58001477563243
2025-01-31,148.58446713341192
