date,forecasted_close
2025-01-01,298.260009765625
2025-01-02,302.24072008143315
2025-01-03,304.7127975061705
2025-01-04,306.1051763643088
2025-01-05,306.7833248897488
2025-01-06,306.8660805383771
2025-01-07,306.5925821616409
2025-01-08,306.1805549051683
2025-01-09,305.7856356495914
2025-01-10,305.48722159369834
2025-01-11,305.3064681010128
2025-01-12,305.2289654123911
2025-01-13,305.22445877457125
2025-01-14,305.26079892412497
2025-01-15,305.3114914234235
2025-01-16,305.35888288228074
2025-01-17,305.39375909216045
2025-01-18,305.4138236771036
2025-01-19,305.42102855667554
2025-01-20,305.4191627512087
2025-01-21,305.41233103273015
2025-01-22,305.40400666987824
2025-01-23,305.3964573339125
2025-01-24,305.39077380341354
2025-01-25,305.3873579441743
2025-01-26,305.38589400450036
2025-01-27,305.3856930716039
2025-01-28,305.38626716559367
2025-01-29,305.38724312537636
2025-01-30,305.38810426636104
2025-01-31,305.3887357697498
