date,forecasted_close
2025-01-01,438.7300109863281
2025-01-02,471.173734970819
2025-01-03,452.63063556991045
2025-01-04,450.34089415337195
2025-01-05,442.31721025174915
2025-01-06,441.89441159400076
2025-01-07,440.2781582463763
2025-01-08,440.07536437983117
2025-01-09,439.3777810163956
2025-01-10,439.1478430629609
2025-01-11,438.95439226980176
2025-01-12,438.968554402092
2025-01-13,439.0143846357535
2025-01-14,439.1038814439766
2025-01-15,439.1859529675614
2025-01-16,439.2650248728486
2025-01-17,439.3307214309728
2025-01-18,439.3861406083725
2025-01-19,439.4307414902727
2025-01-20,439.4671794764778
2025-01-21,439.4968314409605
2025-01-22,439.522008565032
2025-01-23,439.5433992856788
2025-01-24,439.5620854324506
2025-01-25,439.5785587460521
2025-01-26,439.5930159227651
2025-01-27,439.60565365887135
2025-01-28,439.61632443215944
2025-01-29,439.6254216351931
2025-01-30,439.6328469198314
2025-01-31,439.63869863421525
